 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
11,cpt1m012-fa06-20190903-0075-e91.fits,11,0,58730.29358,2458730.293577,2458730.299665,1.720256,70.033,10.702581,13,25,38,0.232068,0.361501,1.061799,0.281225,0.000509,0.000755,0.001915,0.000647,456.308091,478.625193,554.433714,434.994738,1487222.719,1335.77875,1997.135118,2017.011185,1997.635118,2079.488815,23.549582,-29.416866,345136.1328,530.929158,689.924527,500.252012,4798.150879,650.06061,261.272181,2270,8.457313,10.104789,8.966123,11.243454,275.667903,0.948483,2699.95045,2435.697368,2700.45045,1660.802632,23.55537,-29.370801,394881.9536,717.478286,550.37478,5995.635254,743.756389,259.582797,7.595597,9.861452,8.35678,11.366124,279.735804,0.899948,1883.158806,2758.850097,1883.658806,1337.649903,23.548581,-29.336667,765899.9911,900.682149,850.355469,10642.47949,1442.565319,260.290018,8.307699,10.075331,9.112925,11.037738,286.783987,0.948378,3051.528526,1536.862162,3052.028526,2559.637838,23.55836,-29.46772,326440.7742,676.979649,482.201754,5011.574707,614.848081,259.0772,7.515361,9.856052,8.058307,11.653797,271.108983,0.875166
12,cpt1m012-fa06-20190903-0076-e91.fits,12,0,58730.29469,2458730.294693,2458730.300781,1.706565,69.973,10.711602,13,25,38,0.233417,0.362124,1.061345,0.280849,0.00051,0.000757,0.001917,0.000647,457.243326,478.511367,553.583894,433.997601,1480847.605,1332.187501,1997.104595,2017.305101,1997.604595,2079.194899,23.549582,-29.416857,345655.1211,530.929158,689.038391,501.648567,4570.945312,651.03812,258.581445,2227,8.52729,10.284954,9.15916,11.410749,273.957327,0.952297,2700.011648,2435.982528,2700.511648,1660.517472,23.55537,-29.370802,393687.0446,714.981467,550.625523,5761.534668,741.505789,256.448511,7.772982,10.005013,8.539487,11.47054,278.532587,0.909992,1883.203866,2759.152586,1883.703866,1337.347414,23.548582,-29.336669,762458.4964,898.783401,848.32285,10065.20801,1436.083297,259.000829,8.284305,10.265642,9.330292,11.200992,286.429471,0.95371,3051.612172,1537.008122,3052.112172,2559.491878,23.55836,-29.467723,324702.0641,675.065505,480.993417,4857.099121,611.573237,255.434486,7.559248,10.028859,8.238159,11.819558,270.089072,0.88023
13,cpt1m012-fa06-20190903-0077-e91.fits,13,0,58730.29581,2458730.295814,2458730.301902,1.693133,69.973,10.504518,13,25,38,0.233811,0.360962,1.061284,0.281902,0.000508,0.000753,0.001911,0.000647,459.844766,479.493816,555.333208,435.983385,1487534.582,1333.98273,1997.22665,2017.093196,1997.72665,2079.406804,23.549582,-29.416874,347802.2913,530.929158,689.042346,504.761853,4920.593262,655.082294,256.901924,2203,8.260066,10.105928,8.962212,11.249645,274.940557,0.94854,2700.094366,2435.822068,2700.594366,1660.677932,23.555371,-29.370805,394532.3332,715.435652,551.457468,6110.422363,743.097882,255.495016,7.567256,9.922792,8.488296,11.357287,280.226736,0.908634,1883.202498,2759.017769,1883.702498,1337.482231,23.548581,-29.336669,765880.2027,899.845561,851.124055,10933.55371,1442.528048,256.80896,7.94004,10.075256,9.136164,11.014347,287.13737,0.949982,3051.597793,1536.87856,3052.097793,2559.62144,23.55836,-29.467732,327122.0464,676.712434,483.398901,5126.914551,616.131251,255.20557,7.539107,9.873207,8.080326,11.666088,270.347279,0.876368
14,cpt1m012-fa06-20190903-0078-e91.fits,14,0,58730.29693,2458730.296934,2458730.303022,1.679952,69.973,10.595689,13,25,38,0.233102,0.361712,1.055064,0.283651,0.00051,0.000756,0.001905,0.000651,457.007741,478.356563,553.778202,435.766023,1481026.255,1332.506145,1997.422981,2017.100291,1997.922981,2079.399709,23.549582,-29.416864,345229.5967,530.929158,688.60052,501.349602,4564.475098,650.236649,257.06941,2230,8.395503,10.495587,9.32053,11.670644,275.01899,0.949564,2700.292777,2435.798512,2700.792777,1660.701488,23.55537,-29.370802,393405.8324,714.769268,550.395561,5803.249023,740.976129,257.058599,7.669434,10.205198,8.750707,11.65969,279.12946,0.913454,1883.390938,2759.049485,1883.890938,1337.450515,23.548581,-29.336657,760354.8314,898.146205,846.582469,9901.617188,1432.121064,258.699171,8.201118,10.430397,9.461979,11.398815,286.015924,0.952838,3051.892608,1536.847528,3052.392608,2559.652472,23.55836,-29.467728,327265.5913,676.765037,483.573431,4856.888184,616.401616,256.000039,7.612186,10.205793,8.424476,11.98711,270.043167,0.885242
15,cpt1m012-fa06-20190903-0079-e91.fits,15,0,58730.29805,2458730.298053,2458730.304141,1.667062,69.977,10.448073,13,25,38,0.232918,0.363634,1.056038,0.28157,0.000506,0.000754,0.001896,0.000644,459.963449,482.355897,557.013548,437.103984,1485884.435,1329.077974,1997.193994,2017.081065,1997.693994,2079.418935,23.549582,-29.41687,346089.7161,530.929158,685.796989,504.653303,4880.13623,651.856675,249.608055,2166,8.16158,10.206615,9.028094,11.385135,274.249192,0.946905,2700.048433,2435.877424,2700.548433,1660.622576,23.55537,-29.370801,396233.866,713.052275,555.686981,6061.039062,746.302703,247.388505,7.53383,9.97887,8.520037,11.437704,279.068937,0.909258,1883.267324,2759.136496,1883.767324,1337.363504,23.548582,-29.336657,763191.3061,896.80859,851.008024,10760.24219,1437.463537,249.950581,7.822522,10.160605,9.199855,11.121354,286.388456,0.950302,3051.740963,1536.893531,3052.240963,2559.606469,23.55836,-29.467725,326459.2632,673.601563,484.647425,5020.546875,614.882905,247.033973,7.678671,9.999011,8.214199,11.783824,270.902812,0.880183
16,cpt1m012-fa06-20190903-0080-e91.fits,16,0,58730.29917,2458730.299170,2458730.305258,1.65442,69.977,10.662795,13,25,38,0.231631,0.361544,1.058236,0.282566,0.000504,0.00075,0.001897,0.000644,459.915126,481.812551,557.877627,439.003262,1484433.121,1325.512122,1997.330852,2016.974765,1997.830852,2079.525235,23.549582,-29.41688,343840.3505,530.929158,681.662744,504.414175,4561.450684,647.620017,243.99244,2234,8.471242,10.503038,9.377373,11.628702,273.230918,0.954515,2700.209317,2435.827865,2700.709317,1660.672135,23.555371,-29.370802,394176.3207,711.162718,554.270227,5605.161621,742.427336,243.07982,7.710511,10.287572,8.905376,11.669768,278.82831,0.923273,1883.380353,2758.982769,1883.880353,1337.517231,23.548582,-29.336672,763217.0364,894.743459,853.000968,9854.664062,1437.512,245.547215,8.22957,10.48455,9.56875,11.400351,285.916713,0.958357,3051.79105,1536.823061,3052.29105,2559.676939,23.55836,-29.467728,327039.7636,671.315215,487.162746,4805.527344,615.976272,242.496287,7.791781,10.231309,8.469232,11.993386,89.590908,0.88807
17,cpt1m012-fa06-20190903-0081-e91.fits,17,0,58730.30029,2458730.300294,2458730.306382,1.641941,69.981,10.418757,13,25,38,0.232958,0.36132,1.059656,0.282214,0.000503,0.000746,0.001892,0.00064,463.139964,484.186756,560.130098,440.621799,1488582.144,1323.811819,1997.244904,2017.238364,1997.744904,2079.261636,23.549582,-29.416874,346777.7497,530.929158,682.294476,508.252319,4882.007324,653.15258,240.327497,2205,8.143162,10.371193,9.218496,11.52389,274.520445,0.950566,2700.130656,2436.041473,2700.630656,1660.458527,23.555371,-29.370802,395098.0665,709.01352,557.250398,6032.416992,744.163435,238.935258,7.336464,10.096261,8.647605,11.544916,279.302517,0.911978,1883.264879,2759.218925,1883.764879,1337.281075,23.548581,-29.336667,765848.6723,894.807833,855.880608,10515.25391,1442.468661,241.388364,7.799428,10.313644,9.377463,11.249826,286.838771,0.953183,3051.72392,1537.116518,3052.22392,2559.383482,23.55836,-29.467722,327635.4054,670.146628,488.901073,5062.641113,617.098157,237.711427,7.733179,10.095765,8.264348,11.927181,89.902836,0.876622
18,cpt1m012-fa06-20190903-0082-e91.fits,18,0,58730.30141,2458730.301410,2458730.307498,1.629781,69.977,10.143993,13,25,38,0.233549,0.36109,1.057015,0.283444,0.000503,0.000746,0.001887,0.000642,464.11035,484.162825,560.141456,441.578141,1485726.478,1321.54666,1997.284496,2017.094556,1997.784496,2079.405444,23.549582,-29.416872,346989.3429,530.929158,680.962305,509.557343,5022.777832,653.551114,235.37164,2202,7.883126,10.25909,9.136618,11.381561,273.09331,0.952692,2700.249092,2435.811493,2700.749092,1660.688507,23.555371,-29.370806,394155.6339,707.293653,557.272969,6039.792969,742.388373,234.650712,7.170832,9.983396,8.561826,11.404967,279.075127,0.913715,1883.295837,2759.096037,1883.795837,1337.403963,23.548581,-29.336661,763453.6036,893.54719,854.407705,11040.26953,1437.957572,238.520859,7.624794,10.211875,9.251994,11.171756,286.441844,0.95076,3051.736676,1537.00869,3052.236676,2559.49131,23.55836,-29.467714,328117.2403,669.174628,490.331263,5168.067383,618.005689,234.417217,7.478463,9.98715,8.22198,11.75232,89.213965,0.882413
19,cpt1m012-fa06-20190903-0083-e91.fits,19,0,58730.30253,2458730.302528,2458730.308616,1.617793,69.973,10.178369,13,25,38,0.232614,0.361435,1.059833,0.282043,0.000502,0.000745,0.00189,0.00064,463.450897,485.003436,560.702638,440.903166,1489285.577,1323.099817,1997.273849,2017.082697,1997.773849,2079.417303,23.549582,-29.416869,346428.931,530.929158,681.198067,508.5583,4737.716309,652.495583,236.797445,2151,8.051752,10.375263,9.216104,11.534423,275.04636,0.949752,2700.186479,2435.902366,2700.686479,1660.597634,23.55537,-29.370799,395377.0547,708.071476,558.385796,5974.161133,744.688907,235.428361,7.42063,10.098995,8.633526,11.564464,279.239364,0.910188,1883.345544,2759.101301,1883.845544,1337.398699,23.548582,-29.33666,766272.9673,894.76142,856.399203,10546.69043,1443.267817,238.519929,7.681067,10.287856,9.335017,11.240695,287.007368,0.950906,3051.832257,1536.880352,3052.332257,2559.619648,23.55836,-29.467728,327635.5552,669.798412,489.155467,5087.934082,617.09844,235.11064,7.416035,10.080356,8.250185,11.910526,270.659155,0.876362
20,cpt1m012-fa06-20190903-0084-e91.fits,20,0,58730.30365,2458730.303651,2458730.309739,1.605999,69.977,10.52324,13,25,38,0.233046,0.362401,1.056964,0.282301,0.000505,0.000752,0.001898,0.000645,461.443813,482.119751,556.983033,437.684291,1478123.152,1322.17655,1997.395943,2017.120369,1997.895943,2079.379631,23.549582,-29.416866,344470.049,530.929158,679.946337,506.613582,4384.608887,648.806048,239.92054,2146,8.377126,10.606305,9.57252,11.64009,273.848488,0.96203,2700.272934,2435.895,2700.772934,1660.605,23.555371,-29.370799,393182.9945,708.053534,555.301225,5555.550781,740.556415,238.206745,7.689237,10.382088,9.021061,11.743114,278.607653,0.927183,1883.445082,2759.120936,1883.945082,1337.379064,23.548582,-29.336658,759528.549,893.05955,850.479175,9735.044922,1430.564769,240.953191,8.058624,10.585694,9.687767,11.483621,285.694809,0.961067,3051.899602,1536.931258,3052.399602,2559.568742,23.55836,-29.467721,325411.6082,670.265368,485.496676,4568.605469,612.909657,239.48699,7.789604,10.40636,8.73935,12.073371,89.869904,0.902425
21,cpt1m012-fa06-20190903-0085-e91.fits,21,0,58730.30478,2458730.304778,2458730.310866,1.594368,69.973,10.62383,13,25,38,0.232774,0.361294,1.060596,0.281873,0.000502,0.000747,0.001894,0.00064,463.434375,483.885132,560.058533,440.607325,1484038.063,1319.840934,1997.417594,2017.147541,1997.917594,2079.352459,23.549582,-29.416868,345445.183,530.929158,679.145193,508.647027,4490.55127,650.642704,234.932895,2209,8.306053,10.61806,9.535944,11.700177,273.178178,0.9588,2700.300648,2436.000387,2700.800648,1660.499613,23.55537,-29.370791,393870.8761,707.462141,556.737743,5563.597168,741.852034,234.709878,7.751597,10.365634,8.997346,11.733923,278.897335,0.925732,1883.432781,2759.135112,1883.932781,1337.364888,23.548581,-29.336661,763839.6164,892.159762,856.169096,9860.555664,1438.684623,235.282279,8.124524,10.574105,9.68427,11.463939,286.356551,0.960548,3051.93941,1537.005595,3052.43941,2559.494405,23.55836,-29.467717,326327.5709,667.479115,488.895553,4565.741211,614.634864,233.049914,7.789908,10.405964,8.729478,12.08245,89.602013,0.901344
22,cpt1m012-fa06-20190903-0086-e91.fits,22,0,58730.3059,2458730.305896,2458730.311984,1.58307,69.973,10.848977,13,25,38,0.233148,0.362021,1.057149,0.282566,0.000502,0.000746,0.001883,0.000639,464.802234,485.508862,561.427805,442.510537,1485941.953,1318.730602,1997.375275,2016.990744,1997.875275,2079.509256,23.549581,-29.41687,346444.7767,530.929158,678.991416,510.234398,4340.237793,652.525429,232.381454,2260,8.661608,10.490809,9.35492,11.626697,273.333665,0.953561,2700.337501,2435.779529,2700.837501,1660.720471,23.555371,-29.3708,394958.6622,706.605396,558.95223,5541.095703,743.900869,230.08088,7.758571,10.267027,8.876907,11.657146,278.657384,0.922415,1883.432739,2758.933233,1883.932739,1337.566767,23.548581,-29.336667,763611.1807,892.106819,855.963842,9851.443359,1438.254367,232.968975,8.479732,10.406261,9.448842,11.363679,285.519297,0.95465,3051.928531,1536.855337,3052.428531,2559.644663,23.55836,-29.467719,327372.1101,666.261688,491.356649,4799.232422,616.602243,229.899011,7.872167,10.286533,8.583012,11.990053,89.720712,0.896066
